Timestamp,What is your age group?,What is your level of familiarity with AI?,Do you use any AI-powered devices or applications daily?,In what areas do you use AI on a daily basis?,How much do you trust AI to make decisions in your daily life?,Do you think AI enhances your productivity in daily tasks?,Do you believe AI will play a significant role in shaping the future?,In which areas do you think AI will have the biggest impact in the future?,What benefits do you foresee with the advancement of AI? ,What concerns do you have regarding AI in the future?,Should there be regulations on the development and use of AI?,Do you think AI will improve or worsen human society in the long run?,What is your overall opinion on AI?,Would you be interested in learning more about AI and its applications in the future?
4/7/2025 22:15:37,35 - 44,Somewhat familiar,No,"Social media recommendations (e.g., YouTube, Instagram)",Completely distrust,Not sure,No,Business and finance,Improved healthcare,Privacy issues,Unsure,Improve,Somewhat positive,No
4/7/2025 22:15:38,25 - 34,Very familiar,No,"Social media recommendations (e.g., YouTube, Instagram)",Neutral,Yes,Yes,Transportation,Increased convenience,"Ethical issues (e.g., AI decision-making)","No, AI should be developed freely",Worsen,Somewhat positive,No
4/7/2025 22:15:39,25 - 34,Somewhat familiar,No,Online shopping recommendations,Neutral,No,No,Education,Improved healthcare,"Security risks (e.g., AI hacking)","Yes, but with moderate regulations",Neither,Very positive,No
4/7/2025 22:15:40,25 - 34,Somewhat familiar,No,"Email filtering (e.g., spam detection)",Somewhat trust,Yes,No,Health care,Better education and learning opportunities,Privacy issues,"Yes, strict regulations",Improve,Neutral,Yes
4/7/2025 22:15:39,25 - 34,Not familiar at all,Yes,"Email filtering (e.g., spam detection)",Neutral,No,No,Transportation,Increased convenience,"Ethical issues (e.g., AI decision-making)","Yes, strict regulations",Neither,Somewhat positive,Yes
4/7/2025 22:15:41,25 - 34,Not familiar at all,Yes,"Email filtering (e.g., spam detection)",Neutral,Not sure,No,Health care,Improved healthcare,"Ethical issues (e.g., AI decision-making)","No, AI should be developed freely",Neither,Somewhat negative,No
4/7/2025 22:15:41,55 -64,Somewhat familiar,Yes,"Voice assistants (e.g., Siri, Alexa)",Somewhat trust,Not sure,No,Entertainment,Increased convenience,"Security risks (e.g., AI hacking)","Yes, but with moderate regulations",Worsen,Very positive,Yes
4/7/2025 22:15:42,45 - 54,Somewhat familiar,Yes,"Email filtering (e.g., spam detection)",Completely trust,No,Notsure,Business and finance,Greater accessibility for people with disabilities,"Ethical issues (e.g., AI decision-making)","Yes, but with moderate regulations",Unsure,Neutral,Yes
4/7/2025 22:15:43,45 - 54,Not familiar at all,No,Online shopping recommendations,Completely distrust,No,No,Education,Improved healthcare,Job loss and unemployment,Unsure,Unsure,Somewhat negative,Yes
4/7/2025 22:15:43,25 - 34,Very familiar,Yes,Online shopping recommendations,Completely trust,Yes,No,Transportation,Improved healthcare,"Security risks (e.g., AI hacking)","Yes, strict regulations",Worsen,Somewhat positive,No
4/7/2025 22:15:44,35 - 44,Not familiar at all,Yes,Online shopping recommendations,Somewhat trust,Yes,No,Transportation,More efficient work processes,Privacy issues,"Yes, but with moderate regulations",Worsen,Somewhat negative,Yes
4/7/2025 22:15:44,45 - 54,Not familiar at all,No,Online shopping recommendations,Somewhat trust,Not sure,Yes,Business and finance,More efficient work processes,Privacy issues,"No, AI should be developed freely",Neither,Very positive,Yes
4/7/2025 22:15:45,Under 18,Somewhat familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Completely trust,Yes,No,Transportation,Improved healthcare,Job loss and unemployment,Unsure,Improve,Very negative,No
4/7/2025 22:15:46,18 - 24,Not familiar at all,Yes,Online shopping recommendations,Neutral,No,No,Entertainment,Better education and learning opportunities,Privacy issues,"Yes, but with moderate regulations",Neither,Very positive,Yes
4/7/2025 22:15:47,55 -64,Somewhat familiar,No,"Email filtering (e.g., spam detection)",Somewhat trust,No,No,Education,Increased convenience,"Security risks (e.g., AI hacking)","No, AI should be developed freely",Improve,Somewhat positive,No
4/7/2025 22:15:47,45 - 54,Somewhat familiar,No,Online shopping recommendations,Neutral,Not sure,Yes,Education,Improved healthcare,"Security risks (e.g., AI hacking)","Yes, strict regulations",Unsure,Neutral,Yes
4/7/2025 22:15:48,25 - 34,Not familiar at all,Yes,"Voice assistants (e.g., Siri, Alexa)",Somewhat trust,No,No,Business and finance,More efficient work processes,AI becoming too autonomous,"Yes, but with moderate regulations",Neither,Very negative,No
4/7/2025 22:15:49,18 - 24,Not familiar at all,Yes,Online shopping recommendations,Completely distrust,Not sure,No,Entertainment,Improved healthcare,Privacy issues,"Yes, but with moderate regulations",Unsure,Somewhat negative,Yes
4/7/2025 22:15:49,18 - 24,Very familiar,No,"Navigation apps (e.g., Google Maps, Waze)",Completely trust,No,Notsure,Entertainment,More efficient work processes,"Security risks (e.g., AI hacking)","Yes, but with moderate regulations",Improve,Somewhat negative,No
4/7/2025 22:15:50,25 - 34,Very familiar,No,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat trust,No,No,Transportation,Better education and learning opportunities,Privacy issues,"No, AI should be developed freely",Improve,Somewhat positive,No
4/7/2025 22:15:51,25 - 34,Not familiar at all,Yes,"Navigation apps (e.g., Google Maps, Waze)",Somewhat distrust,No,Notsure,Business and finance,Improved healthcare,"Security risks (e.g., AI hacking)","No, AI should be developed freely",Neither,Neutral,Yes
4/7/2025 22:15:52,25 - 34,Somewhat familiar,No,"Social media recommendations (e.g., YouTube, Instagram)",Completely distrust,Not sure,No,Transportation,Greater accessibility for people with disabilities,"Security risks (e.g., AI hacking)","Yes, strict regulations",Improve,Somewhat positive,Yes
4/7/2025 22:15:52,35 - 44,Somewhat familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat trust,Not sure,Yes,Business and finance,Improved healthcare,Privacy issues,"Yes, but with moderate regulations",Improve,Somewhat negative,Yes
4/7/2025 22:15:53,Under 18,Very familiar,No,"Social media recommendations (e.g., YouTube, Instagram)",Completely trust,Yes,Notsure,Transportation,Improved healthcare,Privacy issues,"No, AI should be developed freely",Unsure,Very positive,No
4/7/2025 22:15:54,35 - 44,Somewhat familiar,Yes,Online shopping recommendations,Completely distrust,Not sure,No,Business and finance,More efficient work processes,"Ethical issues (e.g., AI decision-making)","Yes, but with moderate regulations",Worsen,Somewhat negative,Yes
4/7/2025 22:15:54,Under 18,Not familiar at all,No,"Voice assistants (e.g., Siri, Alexa)",Neutral,Yes,Yes,Entertainment,More efficient work processes,"Security risks (e.g., AI hacking)","Yes, but with moderate regulations",Neither,Somewhat positive,No
4/7/2025 22:15:55,18 - 24,Not familiar at all,Yes,"Email filtering (e.g., spam detection)",Neutral,No,Yes,Business and finance,Improved healthcare,"Ethical issues (e.g., AI decision-making)",Unsure,Improve,Neutral,No
4/7/2025 22:15:57,45 - 54,Somewhat familiar,Yes,Online shopping recommendations,Somewhat distrust,No,Notsure,Transportation,More efficient work processes,AI becoming too autonomous,"No, AI should be developed freely",Neither,Somewhat positive,No
4/7/2025 22:15:56,18 - 24,Not familiar at all,No,"Email filtering (e.g., spam detection)",Completely trust,Yes,Notsure,Business and finance,Improved healthcare,Privacy issues,"Yes, strict regulations",Improve,Somewhat positive,Yes
4/7/2025 22:15:57,25 - 34,Very familiar,No,"Email filtering (e.g., spam detection)",Completely distrust,Yes,No,Health care,Greater accessibility for people with disabilities,Privacy issues,Unsure,Improve,Somewhat positive,No
4/7/2025 22:15:58,18 - 24,Somewhat familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat distrust,No,No,Entertainment,Better education and learning opportunities,Job loss and unemployment,"Yes, but with moderate regulations",Neither,Somewhat negative,Yes
4/7/2025 22:15:58,Under 18,Somewhat familiar,No,Online shopping recommendations,Completely trust,Not sure,No,Transportation,More efficient work processes,"Security risks (e.g., AI hacking)","No, AI should be developed freely",Neither,Somewhat positive,Yes
4/7/2025 22:15:59,25 - 34,Not familiar at all,No,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat distrust,Yes,Notsure,Transportation,More efficient work processes,"Security risks (e.g., AI hacking)","No, AI should be developed freely",Worsen,Very negative,Yes
4/7/2025 22:15:59,Under 18,Very familiar,No,"Email filtering (e.g., spam detection)",Somewhat distrust,Yes,Notsure,Health care,Greater accessibility for people with disabilities,AI becoming too autonomous,"No, AI should be developed freely",Worsen,Somewhat positive,No
4/7/2025 22:16:00,25 - 34,Somewhat familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Completely trust,Yes,No,Education,More efficient work processes,"Ethical issues (e.g., AI decision-making)","Yes, but with moderate regulations",Neither,Neutral,Yes
4/7/2025 22:16:01,55 -64,Very familiar,No,"Social media recommendations (e.g., YouTube, Instagram)",Neutral,Not sure,Notsure,Health care,Improved healthcare,"Security risks (e.g., AI hacking)","Yes, strict regulations",Neither,Neutral,Yes
4/7/2025 22:16:01,18 - 24,Not familiar at all,No,Online shopping recommendations,Completely trust,No,No,Education,Improved healthcare,Privacy issues,"Yes, but with moderate regulations",Improve,Somewhat positive,No
4/7/2025 22:16:02,45 - 54,Somewhat familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat distrust,No,No,Transportation,Greater accessibility for people with disabilities,Job loss and unemployment,Unsure,Worsen,Very positive,No
4/7/2025 22:16:03,55 -64,Not familiar at all,Yes,"Voice assistants (e.g., Siri, Alexa)",Neutral,No,No,Health care,Better education and learning opportunities,Privacy issues,"Yes, but with moderate regulations",Improve,Very positive,No
4/7/2025 22:16:04,Under 18,Very familiar,Yes,"Voice assistants (e.g., Siri, Alexa)",Neutral,Not sure,Yes,Transportation,Greater accessibility for people with disabilities,AI becoming too autonomous,"Yes, but with moderate regulations",Worsen,Somewhat positive,Yes
4/7/2025 22:16:04,Under 18,Not familiar at all,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Completely distrust,No,No,Entertainment,Improved healthcare,"Security risks (e.g., AI hacking)",Unsure,Worsen,Neutral,Yes
4/7/2025 22:16:05,45 - 54,Not familiar at all,Yes,"Email filtering (e.g., spam detection)",Neutral,Yes,No,Education,More efficient work processes,"Security risks (e.g., AI hacking)","No, AI should be developed freely",Improve,Very positive,No
4/7/2025 22:16:06,35 - 44,Somewhat familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Completely distrust,No,Notsure,Entertainment,Better education and learning opportunities,"Ethical issues (e.g., AI decision-making)","Yes, but with moderate regulations",Improve,Somewhat negative,No
4/7/2025 22:16:07,35 - 44,Somewhat familiar,No,"Voice assistants (e.g., Siri, Alexa)",Somewhat trust,Not sure,No,Education,More efficient work processes,"Ethical issues (e.g., AI decision-making)","Yes, strict regulations",Neither,Very negative,Yes
4/7/2025 22:16:07,35 - 44,Somewhat familiar,No,"Navigation apps (e.g., Google Maps, Waze)",Completely trust,Yes,Yes,Entertainment,Improved healthcare,"Ethical issues (e.g., AI decision-making)",Unsure,Neither,Somewhat negative,Yes
4/7/2025 22:16:08,18 - 24,Somewhat familiar,Yes,"Navigation apps (e.g., Google Maps, Waze)",Somewhat distrust,No,Notsure,Entertainment,More efficient work processes,AI becoming too autonomous,"Yes, strict regulations",Worsen,Somewhat negative,No
4/7/2025 22:16:09,18 - 24,Not familiar at all,No,"Email filtering (e.g., spam detection)",Neutral,No,No,Entertainment,More efficient work processes,"Ethical issues (e.g., AI decision-making)","Yes, but with moderate regulations",Neither,Neutral,No
4/7/2025 22:16:10,45 - 54,Somewhat familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Completely distrust,Yes,No,Business and finance,Better education and learning opportunities,AI becoming too autonomous,"No, AI should be developed freely",Neither,Neutral,No
4/7/2025 22:16:11,45 - 54,Very familiar,No,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat distrust,No,Notsure,Health care,Increased convenience,Privacy issues,"No, AI should be developed freely",Worsen,Very negative,Yes
4/7/2025 22:16:11,45 - 54,Somewhat familiar,No,"Email filtering (e.g., spam detection)",Somewhat trust,No,No,Entertainment,Increased convenience,Job loss and unemployment,Unsure,Worsen,Neutral,Yes
4/7/2025 22:16:12,55 -64,Somewhat familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat trust,Yes,Notsure,Transportation,Greater accessibility for people with disabilities,"Security risks (e.g., AI hacking)","No, AI should be developed freely",Worsen,Somewhat positive,No
4/7/2025 22:16:12,55 -64,Somewhat familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Completely distrust,No,No,Transportation,Improved healthcare,Privacy issues,"Yes, but with moderate regulations",Unsure,Somewhat negative,No
4/7/2025 22:16:13,18 - 24,Somewhat familiar,No,"Social media recommendations (e.g., YouTube, Instagram)",Neutral,No,Notsure,Health care,More efficient work processes,"Ethical issues (e.g., AI decision-making)","Yes, strict regulations",Unsure,Somewhat negative,No
4/7/2025 22:16:14,18 - 24,Very familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat trust,Not sure,No,Education,Increased convenience,Privacy issues,"No, AI should be developed freely",Unsure,Neutral,No
4/7/2025 22:16:14,35 - 44,Somewhat familiar,No,"Voice assistants (e.g., Siri, Alexa)",Completely trust,Yes,No,Transportation,More efficient work processes,"Security risks (e.g., AI hacking)","Yes, but with moderate regulations",Unsure,Somewhat negative,Yes
4/7/2025 22:16:15,45 - 54,Very familiar,Yes,"Voice assistants (e.g., Siri, Alexa)",Neutral,No,No,Transportation,Greater accessibility for people with disabilities,Privacy issues,"No, AI should be developed freely",Worsen,Somewhat positive,No
4/7/2025 22:16:16,25 - 34,Very familiar,No,"Navigation apps (e.g., Google Maps, Waze)",Somewhat trust,No,Notsure,Education,Improved healthcare,Privacy issues,"Yes, strict regulations",Improve,Very positive,No
4/7/2025 22:16:17,25 - 34,Somewhat familiar,No,"Social media recommendations (e.g., YouTube, Instagram)",Somewhat distrust,No,Yes,Business and finance,Better education and learning opportunities,"Ethical issues (e.g., AI decision-making)","No, AI should be developed freely",Worsen,Somewhat positive,Yes
4/7/2025 22:16:18,18 - 24,Somewhat familiar,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Completely distrust,Yes,Yes,Business and finance,More efficient work processes,AI becoming too autonomous,"Yes, strict regulations",Worsen,Somewhat negative,Yes
4/7/2025 22:16:18,35 - 44,Not familiar at all,Yes,"Social media recommendations (e.g., YouTube, Instagram)",Completely distrust,Not sure,No,Entertainment,Better education and learning opportunities,"Ethical issues (e.g., AI decision-making)","No, AI should be developed freely",Neither,Somewhat positive,Yes
4/7/2025 22:16:19,18 - 24,Not familiar at all,Yes,"Email filtering (e.g., spam detection)",Somewhat trust,Not sure,No,Health care,Increased convenience,"Security risks (e.g., AI hacking)",Unsure,Neither,Somewhat positive,Yes
4/7/2025 22:16:20,18 - 24,Somewhat familiar,Yes,Online shopping recommendations,Completely distrust,Not sure,Yes,Education,Better education and learning opportunities,Privacy issues,Unsure,Improve,Somewhat negative,Yes
4/7/2025 22:16:21,45 - 54,Not familiar at all,No,"Voice assistants (e.g., Siri, Alexa)",Somewhat trust,Not sure,Yes,Health care,More efficient work processes,Job loss and unemployment,"No, AI should be developed freely",Unsure,Very negative,No
